Ten,Nam_Sinh,Chuc_Vu
Nguyễn Long Hải,1976,Ủy viên Trung ương Đảng; Phó Bí thư Thường trực Đảng ủy các cơ quan Đảng Trung ương
Nguyễn Thanh Hải,1970,"Ủy viên Trung ương Đảng; Ủy viên Ủy ban Thường vụ Quốc hội; Chủ nhiệm Ủy ban Khoa học, Công nghệ và Môi trường của Quốc hội"
Nguyễn Tiến Hải,1965,Ủy viên Trung ương Đảng; Bí thư Tỉnh ủy An Giang
Tôn Ngọc Hạnh,1980,"Ủy viên Trung ương Đảng; Phó Bí thư Thường trực Tỉnh ủy, Chủ tịch HĐND tỉnh Đồng Nai"
Nguyễn Văn Hiền,1967,"Ủy viên Trung ương Đảng; Thượng tướng, Thứ trưởng Bộ Quốc phòng"
Trần Thị Hiền,1972,Ủy viên Trung ương Đảng; Ủy viên Ban Thường vụ Đảng ủy các cơ quan Đảng Trung ương; Phó Chủ nhiệm Ủy ban Kiểm tra Trung ương
Nguyễn Sỹ Hiệp,1974,Ủy viên Trung ương Đảng; Phó Trưởng Ban Chính sách chiến lược Trung ương
Phan Chí Hiếu,1969,Ủy viên Trung ương Đảng; Ủy viên Ủy ban Thường vụ Quốc hội; Chủ nhiệm Ủy ban Pháp luật và Tư pháp của Quốc hội
Lê Hải Hòa,1980,"Ủy viên dự khuyết Trung ương Đảng; Phó Bí thư Tỉnh ủy, Chủ tịch UBND tỉnh Cao Bằng"
Bùi Thị Minh Hoài,1965,"Ủy viên Bộ Chính trị; Bí thư Trung ương Đảng; Bí thư Đảng ủy MTTQ, các đoàn thể Trung ương; Chủ tịch Ủy ban Trung ương Mặt trận Tổ quốc Việt Nam"
Nguyễn Thị Hồng,1968,Ủy viên Trung ương Đảng; Phó Chủ tịch Quốc hội
U Huấn,1980,Ủy viên dự khuyết Trung ương Đảng; Phó Bí thư Thường trực Tỉnh ủy; Trưởng Đoàn ĐBQH khóa XV tỉnh Quảng Ngãi; Chủ tịch Ủy ban MTTQ Việt Nam tỉnh Quảng Ngãi
Đoàn Minh Huấn,1971,"Ủy viên Bộ Chính trị; Bí thư Đảng ủy, Giám đốc Học viện Chính trị quốc gia Hồ Chí Minh; Phó Chủ tịch Thường trực Hội đồng Lý luận Trung ương"
Lê Mạnh Hùng,1973,Ủy viên Trung ương Đảng; Bộ trưởng Bộ Công Thương
Lê Quốc Hùng,1966,"Ủy viên Trung ương Đảng; Phó Bí thư Đảng ủy Công an Trung ương; Thượng tướng, Thứ trưởng Bộ Công an"
Nguyễn Mạnh Hùng,1974,"Ủy viên Trung ương Đảng; Phó Bí thư Thường trực Tỉnh ủy, Chủ tịch HĐND tỉnh Tây Ninh"
Trịnh Việt Hùng,1977,Ủy viên Trung ương Đảng; Bộ trưởng Bộ Nông nghiệp và Môi trường
Lê Minh Hưng,1970,Ủy viên Bộ Chính trị; Thủ tướng Chính phủ ; Thủ tướng nước Cộng hòa xã hội chủ nghĩa Việt Nam
Nguyễn Đức Hưng,1970,"Ủy viên Trung ương Đảng; Trung tướng, Bí thư Đảng ủy, Chính ủy Quân khu 3, Bộ Quốc phòng"
Trần Tiến Hưng,1976,Ủy viên Trung ương Đảng; Phó Chủ nhiệm Ủy ban Kiểm tra Trung ương
Đỗ Hữu Huy,1980,"Ủy viên dự khuyết Trung ương Đảng; Phó Bí thư Tỉnh ủy, Chủ tịch UBND tỉnh Đắk Lắk"
Bùi Quang Huy,1977,"Ủy viên Trung ương Đảng; Ủy viên Ban Thường vụ Đảng ủy MTTQ, các đoàn thể Trung ương; Phó Chủ tịch Ủy ban Trung ương MTTQ Việt Nam; Bí thư thứ nhất Trung ương Đoàn TNCSHCM"
Dương Quốc Huy,1974,Ủy viên Trung ương Đảng; Bí thư Tỉnh ủy Lào Cai
Y Thanh Hà Niê Kđăm,1973,Ủy viên Trung ương Đảng; Bí thư Tỉnh ủy Lâm Đồng
Nguyễn Đình Khang,1967,Ủy viên Trung ương Đảng; Bộ trưởng Bộ Dân tộc và Tôn giáo
Hoàng Quốc Khánh,1969,Ủy viên Trung ương Đảng; Bí thư Tỉnh ủy Lạng Sơn
Trần Việt Khoa,1965,"Ủy viên Trung ương Đảng; Thượng tướng, Giám đốc Học viện Quốc phòng"
Vũ Trung Kiên,1974,"Ủy viên Trung ương Đảng; Trung tướng, Tư lệnh Bộ đội Biên phòng"
Tô Lâm,1957,"Tổng Bí thư, Chủ tịch nước CHXHCN Việt Nam; Bí thư Quân ủy Trung ương"
Nguyễn Duy Lâm,1972,Ủy viên Trung ương Đảng; Bí thư Tỉnh ủy Hà Tĩnh
Nguyễn Ngọc Lâm,1973,"Ủy viên Trung ương Đảng; Ủy viên Ban Thường vụ Đảng ủy Công an Trung ương; Thượng tướng, Thứ trưởng Bộ Công an"
Nguyễn Thanh Lâm,1972,Ủy viên Trung ương Đảng; Ủy viên Ban Thường vụ Đảng ủy các cơ quan Đảng Trung ương; Tổng Giám đốc Đài Truyền hình Việt Nam
Trần Thanh Lâm,1973,Ủy viên Trung ương Đảng; Phó Trưởng Ban Tuyên giáo và Dân vận Trung ương
Đào Hồng Lan,1971,Ủy viên Trung ương Đảng; Bộ trưởng Bộ Y tế
Trần Văn Lâu,1970,Ủy viên Trung ương Đảng; Bí thư Tỉnh ủy Vĩnh Long
Hầu A Lềnh,1973,Ủy viên Trung ương Đảng; Bí thư Tỉnh ủy Tuyên Quang
Trịnh Mạnh Linh,1978,Ủy viên Trung ương Đảng; Phó Trưởng Ban Tổ chức Trung ương
Nguyễn Hồng Lĩnh,1964,Ủy viên Trung ương Đảng; Phó Chủ nhiệm Ủy ban Kiểm tra Trung ương
Nguyễn Phước Lộc,1970,"Ủy viên Trung ương Đảng; Phó Bí thư Thành ủy, Chủ tịch Ủy ban Mặt trận Tổ quốc Việt Nam Thành phố Hồ Chí Minh"
Lê Văn Lợi,1974,Ủy viên Trung ương Đảng; Chủ tịch Viện Hàn lâm Khoa học xã hội Việt Nam; Phó Trưởng Ban Chính sách và Chiến lược Trung ương
Nguyễn Phi Long,1976,"Ủy viên Trung ương Đảng; Phó Bí thư Thường trực Đảng ủy MTTQ, các đoàn thể Trung ương; Phó Chủ tịch Ủy ban Trung ương MTTQ Việt Nam"
Nguyễn Văn Long,1974,"Ủy viên Trung ương Đảng; Ủy viên Ban Thường vụ Đảng ủy Công an Trung ương; Thượng tướng, Thứ trưởng Bộ Công an"
Nguyễn Thị Thanh Mai,1974,Ủy viên Trung ương Đảng; Giám đốc Đại học Quốc gia Thành phố Hồ Chí Minh
Phan Văn Mãi,1973,Ủy viên Trung ương Đảng; Ủy viên Ủy ban Thường vụ Quốc hội; Chủ nhiệm Ủy ban Kinh tế và Tài chính của Quốc hội
Lâm Văn Mẫn,1970,Ủy viên Trung ương Đảng; Ủy viên Ủy ban Thường vụ Quốc hội; Chủ tịch Hội đồng Dân tộc của Quốc hội
Trần Thanh Mẫn,1962,Ủy viên Bộ Chính trị; Chủ tịch Quốc hội nước CHXHCN Việt Nam
Lê Quang Mạnh,1974,Ủy viên Trung ương Đảng; Ủy viên Ủy ban Thường vụ Quốc hội; Tổng Thư ký - Chủ nhiệm Văn phòng Quốc hội
Lê Quốc Minh,1969,Ủy viên Trung ương Đảng; Ủy viên Ban Thường vụ Đảng ủy các cơ quan Đảng Trung ương; Tổng Biên tập Báo Nhân Dân; Phó Trưởng Ban Tuyên giáo và Dân vận Trung ương; Chủ tịch Hội Nhà báo Việt Nam
Trần Hồng Minh,1967,Ủy viên Trung ương Đảng; Bộ trưởng Bộ Xây dựng
Võ Văn Minh,1972,"Ủy viên Trung ương Đảng; Phó Bí thư Thành ủy, Chủ tịch HĐND Thành phố Hồ Chí Minh"
Hồ Văn Mừng,1977,"Ủy viên Trung ương Đảng; Phó Bí thư Tỉnh ủy, Chủ tịch UBND tỉnh An Giang"
Hồ Văn Mười,1969,"Ủy viên Trung ương Đảng; Phó Bí thư Tỉnh ủy, Chủ tịch UBND tỉnh Lâm Đồng"
Phạm Hoài Nam,1967,"Ủy viên Trung ương Đảng; Ủy viên Quân ủy Trung ương; Thượng tướng, Thứ trưởng Bộ Quốc phòng"
Hà Thị Nga,1969,Ủy viên Trung ương Đảng; Phó Chủ tịch-Tổng Thư ký Ủy ban Trung ương MTTQ Việt Nam
Lê Thị Nga,1964,Ủy viên Trung ương Đảng; Ủy viên Ủy ban Thường vụ Quốc hội; Chủ nhiệm Ủy ban Dân nguyện và Giám sát của Quốc hội
Lê Minh Ngân,1969,"Ủy viên Trung ương Đảng; Bí thư Tỉnh ủy, Chủ tịch HĐND tỉnh Lai Châu"
Nguyễn Thanh Nghị,1976,"Ủy viên Bộ Chính trị; Bí thư Trung ương Đảng; Trưởng Ban Chính sách, chiến lược Trung ương"
Nguyễn Hữu Nghĩa,1972,"Ủy viên Trung ương Đảng; Bí thư Đảng ủy, Tổng Kiểm toán nhà nước"
Nguyễn Trọng Nghĩa,1962,Ủy viên Bộ Chính trị; Bí thư Trung ương Đảng; Ủy viên Ban Thường vụ Quân ủy Trung ương; Chủ nhiệm Tổng cục Chính trị Quân đội nhân dân Việt Nam
Trần Thanh Nghiêm,1970,"Ủy viên Trung ương Đảng; Ủy viên Quân ủy Trung ương; Phó Đô đốc Hải quân, Tư lệnh Quân chủng Hải quân, Bộ Quốc phòng"
Bùi Văn Nghiêm,1966,Ủy viên Trung ương Đảng; Phó Trưởng Ban Nội chính Trung ương
Hoàng Văn Nghiệm,1968,Ủy viên Trung ương Đảng; Bí thư Tỉnh ủy Sơn La
Nguyễn Thị Bích Ngọc,1971,"Ủy viên Trung ương Đảng; Phó Bí thư Thường trực Đảng ủy, Thứ trưởng Bộ Tài chính"
Nguyễn Duy Ngọc,1964,Ủy viên Bộ Chính trị; Bí thư Trung ương Đảng; Trưởng Ban Tổ chức Trung ương
Nguyễn Quang Ngọc,1968,"Ủy viên Trung ương Đảng; Ủy viên Quân ủy Trung ương; Thượng tướng, Thứ trưởng Bộ Quốc phòng"
Phạm Quang Ngọc,1973,Ủy viên Trung ương Đảng; Bí thư Tỉnh ủy Hưng Yên
Thái Đại Ngọc,1966,Ủy viên Trung ương Đảng; Bí thư Tỉnh ủy Gia Lai
Chiêm Thống Nhất,1976,"Ủy viên Trung ương Đảng; Thiếu tướng, Phó Tư lệnh kiêm Tham mưu trưởng Quân khu 9, Bộ Quốc phòng"
Hồ Văn Niên,1975,Ủy viên Trung ương Đảng; Bí thư Tỉnh ủy Quảng Ngãi
Nguyễn Hải Ninh,1976,Ủy viên Trung ương Đảng; Chánh Văn phòng Trung ương Đảng
Nguyễn Hồng Phong,1979,Ủy viên dự khuyết Trung ương Đảng; Phó Bí thư Thường trực Tỉnh ủy; Chủ tịch HĐND tỉnh Thanh Hóa
Đặng Xuân Phong,1972,"Ủy viên Trung ương Đảng; Bộ trưởng, Chủ nhiệm Văn phòng Chính phủ"
Lê Quốc Phong,1978,Ủy viên Trung ương Đảng; Phó Bí thư Thường trực Thành ủy Thành phố Hồ Chí Minh
Trần Phong,1974,Ủy viên Trung ương Đảng; Bí thư Tỉnh ủy Khánh Hòa
Bùi Hoàng Phương,1983,Ủy viên dự khuyết Trung ương Đảng; Thứ trưởng Bộ Khoa học và Công nghệ
La Công Phương,1972,"Ủy viên Trung ương Đảng; Trung tướng, Bí thư Đảng ủy, Chính ủy Quân khu 1, Bộ Quốc phòng"
Nguyễn Văn Phương,1970,Ủy viên Trung ương Đảng; Bí thư Tỉnh ủy Quảng Trị
Trần Quân,1983,"Ủy viên dự khuyết Trung ương Đảng; Giám đốc Kho bạc Nhà nước, Bộ Tài chính"
Vũ Hải Quân,1974,Ủy viên Trung ương Đảng; Bộ trưởng Bộ Khoa học và Công nghệ
Lê Hồng Quang,1968,Ủy viên Trung ương Đảng; Phó Trưởng Ban Nội chính Trung ương
Lê Ngọc Quang,1974,Ủy viên Trung ương Đảng; Bí thư Thành ủy Đà Nẵng
Lương Tam Quang,1965,"Ủy viên Bộ Chính trị; Đại tướng, Bộ trưởng Bộ Công an"
Trần Lưu Quang,1967,Ủy viên Bộ Chính trị; Bí thư Thành ủy Thành phố Hồ Chí Minh
Nguyễn Văn Quảng,1969,Bí thư Trung ương Đảng; Chánh án Tòa án nhân dân tối cao
Thái Thanh Quý,1976,"Ủy viên Trung ương Đảng; Ủy viên Ban Thường vụ Đảng ủy các cơ quan Đảng Trung ương; Phó Trưởng Ban Thường trực Ban Chính sách, chiến lược Trung ương"
Nguyễn Văn Quyết,1972,Ủy viên Trung ương Đảng; Bí thư Tỉnh ủy Tây Ninh
Trịnh Văn Quyết,1966,Ủy viên Bộ Chính trị; Bí thư Trung ương Đảng; Trưởng Ban Tuyên giáo và Dân vận Trung ương
Trần Đăng Quỳnh,1979,Ủy viên dự khuyết Trung ương Đảng; Phó Bí thư Tỉnh ủy Ninh Bình
Hoàng Minh Sơn,1969,Ủy viên Trung ương Đảng; Bộ trưởng Bộ Giáo dục và Đào tạo
Nguyễn Kim Sơn,1966,Ủy viên Trung ương Đảng; Phó Trưởng Ban Chính sách chiến lược Trung ương
Vũ Hồng Sơn,1971,"Ủy viên Trung ương Đảng; Trung tướng, Phó Bí thư Đảng ủy, Tư lệnh Quân chủng Phòng không-Không quân, Bộ Quốc phòng"
Đỗ Tiến Sỹ,1965,Ủy viên Trung ương Đảng; Ủy viên Ban Thường vụ Đảng ủy các cơ quan Đảng Trung ương; Tổng Giám đốc Đài Tiếng nói Việt Nam
Nguyễn Thành Tâm,1974,Ủy viên Trung ương Đảng; Phó Trưởng Ban Tổ chức Trung ương
Lê Đức Thái,1967,Ủy viên Trung ương Đảng; Bí thư Tỉnh ủy Thanh Hóa
Nguyễn Hồng Thái,1969,Ủy viên Trung ương Đảng; Bí thư Tỉnh ủy Bắc Ninh
Trần Hồng Thái,1974,Ủy viên Trung ương Đảng; Chủ tịch Viện Hàn lâm Khoa học và Công nghệ Việt Nam; Phó Trưởng Ban Chính sách và Chiến lược Trung ương
Nguyễn Khắc Thận,1974,Ủy viên Trung ương Đảng; Bí thư Tỉnh ủy Nghệ An
Nguyễn Văn Thắng,1973,Ủy viên Trung ương Đảng; Phó Thủ tướng Chính phủ
Nguyễn Trường Thắng,1970,"Ủy viên Trung ương Đảng; Ủy viên Quân ủy Trung ương; Thượng tướng, Thứ trưởng Bộ Quốc phòng"
Phạm Tất Thắng,1970,Ủy viên Trung ương Đảng; Ủy viên Ban Chấp hành Đảng bộ các cơ quan Đảng Trung ương; Phó Trưởng Ban Tuyên giáo và Dân vận Trung ương
Trần Đức Thắng,1973,Ủy viên Bộ Chính trị; Bí thư Thành ủy Hà Nội
Vũ Đại Thắng,1975,"Ủy viên Trung ương Đảng; Phó Bí thư Thành ủy, Chủ tịch UBND thành phố Hà Nội"
Tào Đức Thắng,1973,"Ủy viên Trung ương Đảng; Trung tướng, Chủ tịch kiêm Tổng Giám đốc Tập đoàn Công nghiệp-Viễn thông Quân đội"
Lâm Thị Phương Thanh,1967,Ủy viên Trung ương Đảng; Bộ trưởng Bộ Văn hóa Thể thao và Du lịch
Nguyễn Thị Thanh,1967,Ủy viên Trung ương Đảng; Phó Chủ tịch Quốc hội
Trần Sỹ Thanh,1971,Ủy viên Bộ Chính trị; Bí thư Trung ương Đảng; Chủ nhiệm Ủy ban Kiểm tra Trung ương
Đồng Văn Thanh,1969,Ủy viên Trung ương Đảng; Phó Bí thư Thường trực Thành ủy; Chủ tịch HĐND thành phố Cần Thơ
Nghiêm Xuân Thành,1969,Ủy viên Trung ương Đảng; Phó Chủ nhiệm Ủy ban Kiểm tra Trung ương
Đinh Hữu Thành,1977,Ủy viên Trung ương Đảng; Phó Chủ nhiệm Ủy ban Kiểm tra Trung ương
Lê Xuân Thế,1970,"Ủy viên Trung ương Đảng; Trung tướng, Phó Bí thư Đảng ủy, Tư lệnh Quân khu 7, Bộ Quốc phòng"
Lê Xuân Thuân,1971,"Ủy viên Trung ương Đảng; Thiếu tướng, Phó Bí thư Đảng ủy, Tư lệnh Quân đoàn 12, Bộ Quốc phòng"
Lê Thị Thủy,1964,Ủy viên Trung ương Đảng; Phó Chủ tịch Ủy ban Trung ương MTTQ Việt Nam; Chủ tịch Hội Liên hiệp Phụ nữ Việt Nam
Nguyễn Huy Tiến,1968,Ủy viên Trung ương Đảng; Viện trưởng Viện kiểm sát nhân dân tối cao
Trương Thiên Tô,1970,"Ủy viên Trung ương Đảng; Thượng tướng, Phó Chủ nhiệm Tổng cục Chính trị Quân đội nhân dân Việt Nam"
Đặng Khánh Toàn,1971,Ủy viên Trung ương Đảng; Phó Bí thư Thường trực Đảng ủy; Phó Chánh Văn phòng Trung ương Đảng
Nguyễn Khắc Toàn,1970,"Ủy viên Trung ương Đảng; Phó Bí thư Thành ủy, Chủ tịch UBND thành phố Huế"
Lê Tấn Tới,1969,"Ủy viên Trung ương Đảng; Ủy viên Ủy ban Thường vụ Quốc hội; Chủ nhiệm Ủy ban Quốc phòng, An ninh và Đối ngoại của Quốc hội"
Phạm Thị Thanh Trà,1964,Bí thư Trung ương Đảng; Phó Thủ tướng Chính phủ
Nguyễn Hải Trâm,1975,Ủy viên Trung ương Đảng; Ủy viên Ban Thường vụ Đảng ủy các cơ quan Đảng Trung ương; Phó Bí thư Thường trực Đảng ủy Tòa án Nhân dân Tối cao
Lê Minh Trí,1960,Ủy viên Bộ Chính trị; Bí thư Trung ương Đảng; Trưởng Ban Nội chính Trung ương
Hà Quốc Trị,1969,Ủy viên Trung ương Đảng; Phó Chủ nhiệm Ủy ban Kiểm tra Trung ương
Nguyễn Minh Triết,1988,Ủy viên dự khuyết Trung ương Đảng; Phó Bí thư Thường trực Đảng ủy Trung ương Đoàn; Bí thư Thường trực Trung ương Đoàn; Chủ tịch Trung ương Hội Sinh viên Việt Nam
Lương Nguyễn Minh Triết,1976,Ủy viên Trung ương Đảng; Bí thư Tỉnh ủy Đắk Lắk
Lê Hoài Trung,1961,Ủy viên Bộ Chính trị; Bộ trưởng Bộ Ngoại giao
Nguyễn Đình Trung,1973,Ủy viên Trung ương Đảng; Bí thư Thành ủy Huế
Hồ Xuân Trường,1979,Ủy viên dự khuyết Trung ương Đảng; Phó Bí thư Thường trực Tỉnh ủy Khánh Hòa
Trịnh Xuân Trường,1977,Ủy viên Trung ương Đảng; Bí thư Tỉnh ủy Thái Nguyên
Trần Cẩm Tú,1961,Ủy viên Bộ Chính trị; Thường trực Ban Bí thư; Bí thư Đảng ủy các cơ quan Đảng Trung ương
Bùi Anh Tuấn,1980,"Ủy viên dự khuyết Trung ương Đảng; Trợ lý đồng chí Ủy viên Bộ Chính trị, Thường trực Ban Bí thư"
Ngô Văn Tuấn,1971,Ủy viên Trung ương Đảng; Bộ trưởng Bộ Tài chính
Nguyễn Anh Tuấn,1979,Ủy viên Trung ương Đảng; Phó Chủ tịch Ủy ban Trung ương MTTQ Việt Nam; Chủ tịch Tổng Liên đoàn Lao động Việt Nam
Phạm Anh Tuấn,1973,"Ủy viên Trung ương Đảng; Phó Bí thư Tỉnh ủy, Chủ tịch UBND tỉnh Gia Lai"
Trần Huy Tuấn,1974,Ủy viên Trung ương Đảng; Bí thư Tỉnh ủy Ninh Bình
Vương Quốc Tuấn,1977,"Ủy viên Trung ương Đảng; Phó Bí thư Tỉnh ủy, Chủ tịch UBND tỉnh Thái Nguyên"
Phạm Gia Túc,1965,Ủy viên Bộ Chính trị; Phó Thủ tướng Thường trực Chính phủ
Lê Quang Tùng,1971,Ủy viên Trung ương Đảng; Bí thư Thành ủy Cần Thơ
Hoàng Thanh Tùng,1966,Ủy viên Trung ương Đảng; Bộ trưởng Bộ Tư pháp
Phạm Thế Tùng,1972,"Ủy viên Trung ương Đảng; Ủy viên Ban Thường vụ Đảng ủy Công an Trung ương; Thượng tướng, Thứ trưởng Bộ Công an"
Đỗ Xuân Tụng,1970,"Ủy viên Trung ương Đảng; Thượng tướng, Phó Chủ nhiệm Tổng cục Chính trị Quân đội nhân dân Việt Nam"
Nguyễn Thị Tuyến,1971,"Ủy viên Trung ương Đảng; Phó Bí thư Đảng ủy Chính phủ; Bí thư Đảng ủy các cơ quan tham mưu, giúp việc của Đảng ủy Chính phủ"
Lê Văn Tuyến,1973,"Ủy viên Trung ương Đảng; Ủy viên Ban Thường vụ Đảng ủy Công an Trung ương; Thượng tướng, Thứ trưởng Bộ Công an"
Bùi Thị Quỳnh Vân,1974,"Ủy viên Trung ương Đảng; Bí thư Đảng ủy, Phó Trưởng Ban Tổ chức Trung ương"
